id;anfitrion;url;tipo_alojamiento;distrito;precio;gastos_limpieza;plazas;noches_minimas;puntuacion;precio_persona
471328;1408525;https://www.airbnb.com/rooms/471328;Entire home/apt;Centro;82;32;2;3;90;55,6
477652;1408525;https://www.airbnb.com/rooms/477652;Entire home/apt;Centro;83;33;4;3;84;40,28571429
477656;2367126;https://www.airbnb.com/rooms/477656;Private room;Centro;50;40;2;3;95;38
479618;2376101;https://www.airbnb.com/rooms/479618;Entire home/apt;Centro;85;10;5;4;100;38,88888889
479718;2376402;https://www.airbnb.com/rooms/479718;Entire home/apt;San Blas - Canillejas;350;30;6;3;85;120
482122;1408525;https://www.airbnb.com/rooms/482122;Entire home/apt;Chamberi;88;32;4;5;83;52,44444444
483048;2391244;https://www.airbnb.com/rooms/483048;Private room;Hortaleza;60;0;2;1;99;20
488462;2417075;https://www.airbnb.com/rooms/488462;Entire home/apt;Chamberi;85;19;4;1;83;20,8
489190;2419064;https://www.airbnb.com/rooms/489190;Entire home/apt;Moncloa - Aravaca;190;45;7;2;98;47,22222222
492221;2433045;https://www.airbnb.com/rooms/492221;Entire home/apt;Centro;69;25;2;2;97;40,75
497706;2456671;https://www.airbnb.com/rooms/497706;Entire home/apt;Retiro;60;40;3;1;95;25
499911;2467212;https://www.airbnb.com/rooms/499911;Entire home/apt;Centro;97;30;5;4;98;46,44444444
502918;2480913;https://www.airbnb.com/rooms/502918;Private room;Centro;45;20;1;3;95;38,75
506956;1932547;https://www.airbnb.com/rooms/506956;Entire home/apt;Ciudad Lineal;52;20;4;1;98;14,4
507614;2501740;https://www.airbnb.com/rooms/507614;Entire home/apt;Centro;84;25;4;3;98;39,57142857
510973;2517520;https://www.airbnb.com/rooms/510973;Private room;Centro;60;19;1;2;100;46,33333333
514917;83531;https://www.airbnb.com/rooms/514917;Private room;Latina;17;0;1;4;96;13,6
515008;2536524;https://www.airbnb.com/rooms/515008;Private room;San Blas - Canillejas;25;10;2;10;98;21,66666667
515339;2538187;https://www.airbnb.com/rooms/515339;Entire home/apt;Centro;63;45;4;2;87;28,5
518208;2536524;https://www.airbnb.com/rooms/518208;Private room;San Blas - Canillejas;25;10;2;10;97;21,66666667
518511;1150912;https://www.airbnb.com/rooms/518511;Private room;Centro;40;20;3;2;85;20
521162;2561320;https://www.airbnb.com/rooms/521162;Entire home/apt;Centro;85;35;5;2;94;29,28571429
521367;2564339;https://www.airbnb.com/rooms/521367;Entire home/apt;Centro;67;30;4;3;96;33
522563;1652272;https://www.airbnb.com/rooms/522563;Entire home/apt;Centro;75;19;5;2;94;24,14285714
526162;2249249;https://www.airbnb.com/rooms/526162;Private room;Retiro;19;10;1;2;86;16
526513;1134989;https://www.airbnb.com/rooms/526513;Entire home/apt;Centro;39;39;6;2;95;14,625
531677;2613319;https://www.airbnb.com/rooms/531677;Private room;Centro;34;17;2;2;98;21,25
531854;2569497;https://www.airbnb.com/rooms/531854;Entire home/apt;Centro;55;20;2;2;88;32,5
533450;2619962;https://www.airbnb.com/rooms/533450;Private room;Centro;24;0;1;1;90;12
536574;447969;https://www.airbnb.com/rooms/536574;Entire home/apt;Arganzuela;70;80;10;3;60;22,30769231
540937;2659070;https://www.airbnb.com/rooms/540937;Entire home/apt;Centro;56;25;4;2;90;22,83333333
544736;1284868;https://www.airbnb.com/rooms/544736;Private room;Chamartin;23;18;1;2;95;21,33333333
545174;2680319;https://www.airbnb.com/rooms/545174;Entire home/apt;Chamberi;40;80;4;1;60;24
548995;2673517;https://www.airbnb.com/rooms/548995;Entire home/apt;Retiro;90;30;4;5;98;53,33333333
549483;1091014;https://www.airbnb.com/rooms/549483;Entire home/apt;Centro;99;30;3;3;93;54,5
551966;2659765;https://www.airbnb.com/rooms/551966;Entire home/apt;Centro;65;0;4;30;96;57,35294118
552183;2713304;https://www.airbnb.com/rooms/552183;Private room;Centro;30;15;2;2;97;18,75
555117;2727360;https://www.airbnb.com/rooms/555117;Private room;Salamanca;33;39;2;3;90;27,6
558690;2747005;https://www.airbnb.com/rooms/558690;Entire home/apt;Salamanca;105;30;5;5;93;55,5
560941;596469;https://www.airbnb.com/rooms/560941;Hotel room;Salamanca;100;100;2;5;92;85,71428571
565152;2779192;https://www.airbnb.com/rooms/565152;Entire home/apt;Centro;57;25;4;2;85;23,16666667
566241;2785251;https://www.airbnb.com/rooms/566241;Entire home/apt;Centro;50;75;2;180;97;49,86263736
568190;2795931;https://www.airbnb.com/rooms/568190;Private room;Latina;20;5;2;2;98;11,25
570158;2347489;https://www.airbnb.com/rooms/570158;Private room;Chamberi;22;15;1;2;90;19,66666667
576487;2312712;https://www.airbnb.com/rooms/576487;Entire home/apt;Barajas;78;25;8;1;94;11,44444444
578731;2847013;https://www.airbnb.com/rooms/578731;Entire home/apt;Centro;95;40;5;2;94;32,85714286
578837;2847360;https://www.airbnb.com/rooms/578837;Entire home/apt;Chamberi;60;30;2;366;94;59,75543478
580687;2857508;https://www.airbnb.com/rooms/580687;Entire home/apt;Centro;67;30;4;2;88;27,33333333
581691;2864064;https://www.airbnb.com/rooms/581691;Entire home/apt;Centro;33;30;3;1;93;15,75
586726;2566589;https://www.airbnb.com/rooms/586726;Entire home/apt;Moncloa - Aravaca;85;37;5;30;80;73,91428571
588518;2267893;https://www.airbnb.com/rooms/588518;Entire home/apt;Centro;165;36;2;4;99;116
590710;2913511;https://www.airbnb.com/rooms/590710;Private room;Usera;30;0;2;7;96;23,33333333
594298;153391;https://www.airbnb.com/rooms/594298;Entire home/apt;Centro;105;45;6;1;94;21,42857143
597038;2952250;https://www.airbnb.com/rooms/597038;Entire home/apt;Retiro;155;85;4;2;98;65,83333333
598771;2678039;https://www.airbnb.com/rooms/598771;Entire home/apt;Arganzuela;85;70;3;3;97;54,16666667
599134;1567773;https://www.airbnb.com/rooms/599134;Private room;Centro;30;30;1;30;91;30
599977;2960080;https://www.airbnb.com/rooms/599977;Entire home/apt;Centro;37;15;2;2;85;22,25
600476;2184051;https://www.airbnb.com/rooms/600476;Entire home/apt;Centro;75;30;6;1;97;15
603958;2376101;https://www.airbnb.com/rooms/603958;Entire home/apt;Centro;85;15;4;4;87;44,375
604150;2990747;https://www.airbnb.com/rooms/604150;Entire home/apt;Salamanca;110;50;4;6;90;71
604632;2993477;https://www.airbnb.com/rooms/604632;Private room;Tetuan;29;10;2;1;85;13
606923;2581715;https://www.airbnb.com/rooms/606923;Private room;Moncloa - Aravaca;24;15;1;2;96;21
608742;3017315;https://www.airbnb.com/rooms/608742;Entire home/apt;Centro;65;20;3;3;95;35,83333333
610675;2174652;https://www.airbnb.com/rooms/610675;Entire home/apt;Centro;70;30;4;3;100;34,28571429
618406;3062041;https://www.airbnb.com/rooms/618406;Entire home/apt;Villa de Vallecas;60;20;3;3;85;33,33333333
618576;3017315;https://www.airbnb.com/rooms/618576;Entire home/apt;Centro;70;20;3;3;96;38,33333333
625566;2773350;https://www.airbnb.com/rooms/625566;Entire home/apt;Arganzuela;60;20;2;2;93;35
625700;2634967;https://www.airbnb.com/rooms/625700;Private room;Chamberi;50;15;1;120;95;49,7107438
627873;3117754;https://www.airbnb.com/rooms/627873;Entire home/apt;Chamberi;140;55;4;2;91;55,83333333
628394;3121587;https://www.airbnb.com/rooms/628394;Entire home/apt;Centro;250;70;8;1;94;35,55555556
631737;3141727;https://www.airbnb.com/rooms/631737;Entire home/apt;Chamartin;75;30;6;3;100;28,33333333
642863;3214130;https://www.airbnb.com/rooms/642863;Private room;Centro;45;50;2;4;97;38,33333333
642902;368907;https://www.airbnb.com/rooms/642902;Entire home/apt;Chamberi;197;62;7;3;91;65,3
643471;3290138;https://www.airbnb.com/rooms/643471;Private room;Centro;20;0;2;3;91;12
644592;2991670;https://www.airbnb.com/rooms/644592;Private room;Salamanca;16;0;3;1;85;4
644603;2991670;https://www.airbnb.com/rooms/644603;Private room;Salamanca;22;0;2;4;80;14,66666667
647207;3244793;https://www.airbnb.com/rooms/647207;Entire home/apt;Arganzuela;39;9;2;3;96;25,2
647376;1091014;https://www.airbnb.com/rooms/647376;Entire home/apt;Centro;125;35;4;3;91;58,57142857
647891;3249358;https://www.airbnb.com/rooms/647891;Private room;Chamberi;40;15;2;1;98;18,33333333
656520;1375487;https://www.airbnb.com/rooms/656520;Entire home/apt;Centro;65;50;2;5;93;53,57142857
659887;3329487;https://www.airbnb.com/rooms/659887;Private room;Retiro;29;0;2;14;90;25,375
661688;845399;https://www.airbnb.com/rooms/661688;Private room;Centro;30;7;1;1;82;18,5
668753;3385307;https://www.airbnb.com/rooms/668753;Private room;Chamberi;45;20;1;4;97;40
675713;3432379;https://www.airbnb.com/rooms/675713;Entire home/apt;Centro;80;25;3;3;100;44,16666667
676566;3317937;https://www.airbnb.com/rooms/676566;Entire home/apt;Retiro;75;20;4;3;96;35
678732;2417075;https://www.airbnb.com/rooms/678732;Entire home/apt;Chamberi;149;25;8;1;86;19,33333333
680784;3466426;https://www.airbnb.com/rooms/680784;Private room;Centro;45;25;2;3;97;32
681336;3469687;https://www.airbnb.com/rooms/681336;Entire home/apt;Moncloa - Aravaca;80;30;4;2;95;31,66666667
683208;9228673;https://www.airbnb.com/rooms/683208;Entire home/apt;Salamanca;210;120;6;5;97;106,3636364
684564;1941314;https://www.airbnb.com/rooms/684564;Entire home/apt;Centro;108;80;3;2;94;59,2
685152;3494012;https://www.airbnb.com/rooms/685152;Entire home/apt;Hortaleza;155;65;12;2;83;26,78571429
686041;3508577;https://www.airbnb.com/rooms/686041;Private room;Hortaleza;40;20;2;1;93;20
688795;1732442;https://www.airbnb.com/rooms/688795;Entire home/apt;Centro;75;60;10;2;94;17,5
689099;3357259;https://www.airbnb.com/rooms/689099;Private room;Ciudad Lineal;40;10;1;1;93;25
691458;655088;https://www.airbnb.com/rooms/691458;Private room;Arganzuela;37;0;2;2;96;18,5
692358;3540348;https://www.airbnb.com/rooms/692358;Entire home/apt;Villaverde;98;50;8;3;92;31,27272727
692855;3544353;https://www.airbnb.com/rooms/692855;Entire home/apt;Centro;75;30;4;3;97;36,42857143
694867;3540348;https://www.airbnb.com/rooms/694867;Entire home/apt;Villaverde;75;40;5;3;93;33,125
695909;3021792;https://www.airbnb.com/rooms/695909;Entire home/apt;Centro;80;45;6;2;93;25,625
696928;3569462;https://www.airbnb.com/rooms/696928;Shared room;Salamanca;60;15;3;2;84;27
700756;3534151;https://www.airbnb.com/rooms/700756;Entire home/apt;Retiro;65;30;6;3;94;25
704155;3606346;https://www.airbnb.com/rooms/704155;Entire home/apt;Centro;73;25;4;2;93;28,5
708275;2785251;https://www.airbnb.com/rooms/708275;Entire home/apt;Chamartin;50;75;2;270;87;49,90808824
709208;3648882;https://www.airbnb.com/rooms/709208;Entire home/apt;Centro;69;38;4;2;97;29,33333333
710156;3654886;https://www.airbnb.com/rooms/710156;Private room;Barajas;29;0;2;1;97;9,666666667
710870;3654108;https://www.airbnb.com/rooms/710870;Private room;Chamberi;23;0;3;1;88;5,75
714983;2747005;https://www.airbnb.com/rooms/714983;Entire home/apt;Moratalaz;125;30;7;5;96;54,58333333
716232;2747005;https://www.airbnb.com/rooms/716232;Entire home/apt;Ciudad Lineal;85;30;5;7;95;52,08333333
716292;3691303;https://www.airbnb.com/rooms/716292;Entire home/apt;Centro;72;50;6;3;92;29,55555556
721057;1954334;https://www.airbnb.com/rooms/721057;Entire home/apt;Centro;55;10;4;2;95;20
721377;3724500;https://www.airbnb.com/rooms/721377;Entire home/apt;Fuencarral - El Pardo;50;60;2;7;98;45,55555556
723088;2555202;https://www.airbnb.com/rooms/723088;Entire home/apt;Centro;75;30;6;3;95;28,33333333
724700;3746437;https://www.airbnb.com/rooms/724700;Entire home/apt;Centro;60;30;4;1;89;18
726408;3759135;https://www.airbnb.com/rooms/726408;Entire home/apt;Ciudad Lineal;130;30;2;2;83;72,5
726951;2172169;https://www.airbnb.com/rooms/726951;Entire home/apt;Centro;60;50;3;3;100;38,33333333
727588;498646;https://www.airbnb.com/rooms/727588;Entire home/apt;Puente de Vallecas;43;30;4;30;84;38,82352941
728978;1566057;https://www.airbnb.com/rooms/728978;Entire home/apt;Centro;80;30;5;3;95;33,75
730347;3797913;https://www.airbnb.com/rooms/730347;Entire home/apt;Centro;140;30;6;2;96;38,75
730502;3797913;https://www.airbnb.com/rooms/730502;Entire home/apt;Centro;140;30;6;2;96;38,75
730568;3797913;https://www.airbnb.com/rooms/730568;Entire home/apt;Centro;150;30;6;2;96;41,25
733312;3730591;https://www.airbnb.com/rooms/733312;Entire home/apt;Chamberi;50;100;2;180;75;50
733365;3821608;https://www.airbnb.com/rooms/733365;Private room;Chamberi;35;20;1;2;97;30
738837;3771869;https://www.airbnb.com/rooms/738837;Entire home/apt;Centro;48;50;3;3;90;32,33333333
740200;2952250;https://www.airbnb.com/rooms/740200;Entire home/apt;Salamanca;194;90;4;2;100;79,66666667
745728;3797913;https://www.airbnb.com/rooms/745728;Entire home/apt;Centro;250;60;12;3;97;54
746742;1719263;https://www.airbnb.com/rooms/746742;Entire home/apt;Centro;100;40;4;3;92;48,57142857
747873;1625657;https://www.airbnb.com/rooms/747873;Entire home/apt;Centro;85;40;4;1;98;25
